Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2022-01-05,23,1915,361,5,1,2022,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.012010443864229765,0.06371191135734072,14.0,2549.0,401.0,18.428571428571427,1651.7142857142858,355.2857142857143
2022-01-06,18,2125,385,6,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.008470588235294117,0.046753246753246755,23.0,1915.0,361.0,19.428571428571427,1818.7142857142858,359.42857142857144
2022-01-07,23,1984,397,7,1,2022,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.011592741935483871,0.05793450881612091,18.0,2125.0,385.0,20.571428571428573,1972.0,382.2857142857143
2022-01-08,16,1859,398,8,1,2022,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.008606777837547068,0.04020100502512563,23.0,1984.0,397.0,21.142857142857142,2044.7142857142858,391.7142857142857
2022-01-09,19,1759,401,9,1,2022,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.010801591813530414,0.04738154613466334,16.0,1859.0,398.0,20.142857142857142,2052.5714285714284,393.42857142857144
2022-01-10,18,1571,392,10,1,2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.011457670273711012,0.04591836734693878,19.0,1759.0,401.0,18.714285714285715,1966.0,390.7142857142857
2022-01-11,18,1818,398,11,1,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.009900990099009901,0.04522613065326633,18.0,1571.0,392.0,19.285714285714285,1861.5714285714287,390.2857142857143
2022-01-12,21,1506,376,12,1,2022,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.013944223107569721,0.05585106382978723,18.0,1818.0,398.0,19.0,1803.142857142857,392.42857142857144
2022-01-13,15,1724,369,13,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.008700696055684454,0.04065040650406504,21.0,1506.0,376.0,18.571428571428573,1745.857142857143,390.14285714285717
2022-01-14,16,2196,387,14,1,2022,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.007285974499089253,0.041343669250646,15.0,1724.0,369.0,17.571428571428573,1776.142857142857,388.7142857142857
2022-01-15,11,1933,399,15,1,2022,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.005690636316606311,0.02756892230576441,16.0,2196.0,387.0,16.857142857142858,1786.7142857142858,388.85714285714283
2022-01-16,16,1959,413,16,1,2022,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00816743236345074,0.0387409200968523,11.0,1933.0,399.0,16.428571428571427,1815.2857142857142,390.57142857142856
2022-01-17,19,1689,425,17,1,2022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.011249259917110717,0.04470588235294118,16.0,1959.0,413.0,16.571428571428573,1832.142857142857,395.2857142857143
2022-01-18,16,1524,368,18,1,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.010498687664041995,0.043478260869565216,19.0,1689.0,425.0,16.285714285714285,1790.142857142857,391.0
2022-01-19,16,1041,390,19,1,2022,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.01536983669548511,0.041025641025641026,16.0,1524.0,368.0,15.571428571428571,1723.7142857142858,393.0
2022-01-20,18,1175,431,20,1,2022,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.015319148936170212,0.04176334106728538,16.0,1041.0,390.0,16.0,1645.2857142857142,401.85714285714283
